R	N	b	D_in	D_out	D_tot_perF2	active_in	spread	check	t
3.0	57	0.5	44827496719.19937	9121839162.144686	16604904.857292725	133	0.0608117649638764	1.7763568394002505e-15	0.1306073665618896
4.0	160	0.5	7401750442588.947	2033777469659.129	368575309.07219046	355	0.144257926899471	-6.661338147750939e-16	0.7000184059143066
5.0	293	0.5	175388688522701.88	48313734123584.66	2605766201.6597342	657	0.0229887555260284	5.3290705182007506e-15	1.1017179489135742
6.5	666	0.5	1.0348543507068464e+16	3343242580029450.0	30868224276.298622	1451	0.033888228989747		2.370049238204956
8.5	1478	0.5	5.928816309783939e+17	1.9601571171816464e+17	361136699878.1215	3210	0.0018182463476681		5.858409404754639
3.0	57	0.6666666666666666	413278675.3593089	125166129.13176352	165726.31717176744	137	0.0128575726306752	-3.3306690738754696e-15	0.149935245513916
4.0	160	0.6666666666666666	28802688512.653408	10999668666.871016	1554779.577325173	357	0.0765391281604399	2.220446049250313e-15	0.5460638999938965
5.0	293	0.6666666666666666	372962839844.6837	149520958199.17072	6086079.022980518	660	0.0086487344609131	6.8833827526759706e-15	0.9562654495239258
6.5	666	0.6666666666666666	10437588469345.04	4863012999244.127	34495309.42787194	1458	0.0346532537226951		2.848151922225952
8.5	1478	0.6666666666666666	280855354028128.84	135826617353810.4	190746176.8463121	3219	0.0128148121885416		8.768967866897583
3.0	57	0.75	85390133.58047695	31061384.36248439	35842.26467927404	132	0.0685459534168515	2.4424906541753444e-15	0.1686067581176757
4.0	160	0.75	4682396596.697949	2036789347.9735923	262468.2009637321	365	0.0216589595225178	1.3322676295501878e-15	0.6102862358093262
5.0	293	0.75	49850600183.09729	23252261706.26136	851528.4032354325	661	0.008648626713642	4.218847493575595e-15	1.183471441268921
6.5	666	0.75	1133443154705.0503	597925934224.3096	3903383.313334415	1487	0.0232642228564758		3.6172709465026855
8.5	1478	0.75	24009707780473.12	13270805362936.268	17066049.9886515	3245	0.0150437382978545		7.891468048095703
3.0	57	1.0	4576631.762217721	2105787.5500673125	2056.7618689704627	136	0.0285674447888395	-4.440892098500626e-15	0.1803908348083496
4.0	160	1.0	145469664.7507877	81067195.25257671	8849.096093881424	375	0.0063144935624506	4.440892098500626e-16	0.6323845386505127
5.0	293	1.0	1124152579.4151697	676559154.1370232	20975.337319621576	683	0.0123837970296136	9.547918011776346e-15	1.346647024154663
6.5	666	1.0	17021686963.364866	11475633455.773329	64247.40149865676	1515	0.0124764998597699		3.205618143081665
8.5	1478	1.0	243150928186.9469	170612267420.27762	189410.03715624585	3350	0.0070486955254447		9.449225187301636
