R	N	b	D_in	D_out	D_in_perF2	t
3.0	37	0.5	4785190744.342139	1129128555.0669625	3495391.3399139075	0.2782750129699707
4.5	73	0.5	201259742390.18692	53315686561.20853	37766887.2940865	1.0477409362792969
6.5	151	0.5	8166174669191.938	2597302941828.948	358149847.33967537	5.558890104293823
9.0	301	0.5	310014350535299.1	103585377851312.69	3421754180.807045	23.260513305664062
3.0	37	0.75	18296992.18277985	7029904.499560279	13365.224384791709	0.1939313411712646
4.5	73	0.75	331728034.1100303	151291002.23131213	62249.58418277919	1.575432538986206
6.5	151	0.75	6216332997.927831	3363821476.928471	272634.2264781295	6.509680032730103
9.0	301	0.75	108680369668.66644	62568782981.986015	1199549.3390654237	25.45109796524048
3.0	37	1.0	1294460.6010222214	631788.8793286037	945.5519364661952	0.2699415683746338
4.5	73	1.0	16829357.818523295	9794700.646836458	3158.0705232732776	1.3228094577789309
6.5	151	1.0	234614055.92132625	160108195.09812137	10289.638872037463	7.325963020324707
9.0	301	1.0	3046609855.02234	2221932979.6896124	33626.66918712088	25.57425808906555
